x,y,z,intensity,classification
17.827963,134.46477,151.06078,176.31702,2
86.53668,110.53488,151.46945,175.21465,2
14.182934,48.404896,152.372,94.28028,5
82.27023,133.53755,151.6217,203.07576,2
71.06988,143.64534,151.10243,187.55418,2
165.76239,147.84119,156.17708,77.61445,5
107.169365,121.833725,152.37784,94.59406,2
44.68453,57.460136,151.53377,189.4385,2
167.85114,44.334023,152.17888,94.66373,2
4.3505473,46.48083,151.31674,109.48378,5
17.540598,92.96265,151.06783,105.27374,5
6.9799056,123.48069,152.55856,81.86904,5
31.636358,17.392752,149.67355,187.84477,2
176.87486,124.8744,154.43597,93.60563,2
79.08776,36.156006,151.75163,184.24948,2
189.92247,79.39224,152.45024,157.94038,2
94.00384,51.06859,150.85495,171.21838,2
134.93408,7.1387033,152.93033,128.09554,5
176.52606,41.92809,152.5204,94.44407,2
198.28442,12.632012,154.19107,64.74982,5
41.78359,121.88728,151.13269,52.913742,2
194.70247,79.999214,152.59251,91.43889,2
9.20013,121.13128,152.24234,65.55565,5
55.278973,53.227543,151.51941,86.84274,2
28.000086,30.675983,152.50237,38.163723,5
1.1451854,68.79846,150.37924,178.22029,2
24.847004,38.244682,151.33315,74.14047,2
59.33171,47.322002,150.8746,160.96475,2
48.162827,118.61831,151.51746,45.513912,5
94.80667,29.891066,152.94806,200.00131,2
54.77214,24.165424,150.7897,158.71617,2
53.265995,28.605604,150.21793,101.25867,2
90.557144,143.05511,152.08836,168.53596,2
47.53727,118.62497,151.44456,134.41658,2
133.34932,74.48274,152.18427,70.93021,2
84.05134,29.43623,152.66269,197.2788,2
121.61406,44.639137,151.97586,163.16125,2
187.8994,27.105003,153.34885,107.741425,5
12.236496,94.34502,151.13724,46.53198,5
130.60286,60.05565,150.62338,176.7711,2
108.944916,60.784073,150.77063,191.06888,2
23.701897,19.121637,149.60915,176.0509,2
174.81581,106.500496,153.70209,125.69846,2
124.49768,70.61677,151.5662,159.7066,2
130.5892,30.357096,152.96773,55.598198,5
4.834456,138.88887,151.46808,193.68098,2
84.723595,18.418072,152.64162,156.48137,2
161.18875,92.111755,153.55194,182.59744,2
111.6769,120.21855,153.33351,39.669735,5
100.28353,29.973011,153.24977,38.533985,5
99.65031,52.890358,150.79822,215.42033,2
30.573153,35.294666,150.98174,93.450966,2
12.21149,12.852009,149.4019,141.99998,2
151.69995,68.49107,151.21165,28.144617,2
106.2679,129.76852,153.93947,72.29801,5
143.87929,129.46146,154.92252,149.08145,5
102.67505,91.22148,152.86795,88.91726,5
175.20065,126.54344,154.40994,200.72012,2
38.420055,146.21698,150.5478,213.98514,2
198.84418,111.1581,154.86028,123.6987,5
1.749014,47.11143,150.82944,182.39394,2
22.001528,5.0728545,150.19038,211.85757,2
175.02106,54.28138,151.87654,201.27425,2
15.632725,119.90368,150.79991,158.23645,2
114.67926,21.747078,154.26427,90.3918,5
197.87503,94.57643,153.63522,84.63667,5
132.96855,145.38136,152.96587,177.83847,2
61.51669,148.5803,150.61794,175.61691,2
188.66948,88.53222,153.51239,93.93825,5
94.25233,27.50989,154.69073,106.984924,5
19.879293,22.73356,150.46014,66.079994,2
119.0308,91.70073,152.4214,160.49615,2
180.25824,66.27632,150.92761,159.30933,2
119.915474,139.14781,154.04495,81.55929,5
26.576342,128.8615,151.0242,109.8498,2
49.984726,133.87819,150.73512,170.85045,2
156.19002,47.738266,151.72899,115.771484,2
45.621227,125.10671,151.05092,215.5865,2
101.207115,86.93399,151.6351,152.73093,2
140.30492,111.113396,154.3331,112.63191,5
91.13501,120.29718,152.9253,122.18793,5
133.83966,121.21716,154.30762,111.75812,5
135.81761,88.40241,153.18324,170.66994,2
184.3325,63.75297,151.08463,181.58586,2
80.94872,102.62614,151.49136,216.57298,2
58.338127,19.060331,153.13696,140.76003,5
180.11876,75.833626,153.70186,85.73276,5
96.97073,131.6432,152.24133,117.123474,2
132.64949,86.81765,153.07411,182.19778,2
7.3120856,45.81343,151.01074,216.84547,2
139.84651,25.476501,151.41727,179.12958,2
118.30521,101.7559,152.51974,83.257195,2
31.263817,31.676933,150.60986,150.74179,2
170.45036,25.926594,151.94743,110.23149,2
16.215412,71.69371,150.74077,164.75716,2
30.788448,17.051111,149.65865,156.79399,2
68.01077,51.5449,151.10814,147.98589,2
39.132153,119.31063,151.10066,187.73628,2
23.682108,72.09414,151.0695,199.70921,2
125.27267,141.93697,154.54774,107.48035,5
57.94833,53.10747,151.51797,237.0761,2
105.39736,29.858168,152.83295,188.59163,2
29.40067,78.30343,151.25557,182.15544,2
40.64176,71.79383,151.743,107.2521,2
184.49527,148.41188,156.15746,111.06623,5
36.33717,148.4793,151.00392,146.3602,5
181.91675,116.88633,154.35217,68.90293,2
146.3706,125.373276,153.5826,172.63217,2
28.29915,128.43446,150.9032,44.160328,2
92.39444,26.865803,152.91544,182.70073,2
167.57675,113.08548,154.06308,84.23605,2
120.5289,72.88637,153.62682,105.46746,5
64.43787,32.63804,150.67673,172.88857,2
107.1125,47.259872,151.82736,168.81436,2
48.815025,124.350624,151.85268,83.435905,5
187.78673,105.92596,155.13417,78.194725,5
20.2185,146.10617,151.23645,69.472084,2
157.02277,40.681927,151.613,169.29202,2
148.8476,101.68979,153.80388,143.21805,2
112.57457,2.334376,152.09233,163.71767,2
14.518281,50.47146,151.15993,85.6286,2
83.82209,130.4501,152.17793,127.05807,5
78.48225,12.271457,153.49219,65.00893,5
169.4771,92.69823,153.64897,89.34051,2
59.03841,136.47249,150.75839,151.98012,2
30.57011,31.171204,150.5701,160.80438,2
3.984894,44.22197,150.93045,206.52231,2
145.0156,0.45333806,153.1337,89.33972,5
153.51181,40.863266,151.58717,162.52748,2
144.34662,17.310995,151.31627,200.98695,2
6.971837,51.60914,152.66138,125.29261,5
146.56464,0.98601264,151.5489,166.72366,2
108.85428,16.621914,152.85915,64.46186,2
24.049826,94.01487,152.28436,119.11211,5
157.5763,72.48959,153.30814,92.11002,5
56.985447,103.05601,151.79054,192.99918,2
3.7827914,38.74165,150.98703,198.3183,2
86.821045,28.76745,152.85313,101.61944,2
8.739308,68.41614,150.59978,168.1501,2
168.56377,126.460815,154.26842,187.51154,2
92.195915,51.110813,150.81819,219.68002,2
7.3654943,101.964455,150.25883,173.94287,2
64.02857,22.132187,153.08711,119.99615,5
21.084263,24.314728,151.70236,126.19281,5
74.8734,140.96815,151.26266,159.08507,2
57.226437,134.34767,150.89238,66.92414,2
190.92873,104.18758,153.51573,167.62889,2
106.406784,40.083366,153.98032,143.17268,5
100.84133,148.962,152.63269,65.49277,2
47.799347,65.17483,151.68349,100.1463,2
156.93922,81.8668,153.0765,212.7781,2
61.47735,71.54668,152.01526,182.00995,2
121.41091,113.141846,152.63808,86.257256,2
163.49886,122.214294,154.13158,63.02221,2
46.426044,72.75378,151.77077,178.1218,2
32.147785,78.38279,152.64732,80.24306,5
100.085976,49.704693,151.38162,60.32661,2
125.14053,0.47497892,151.8867,177.8542,2
112.05411,124.83915,152.3744,46.20846,2
80.14702,79.06894,151.81133,140.75966,2
5.494022,39.096954,151.06096,177.2195,2
151.71306,13.855576,151.35054,61.12426,2
28.888195,102.286446,152.09528,132.10782,5
121.16915,6.9382553,151.9754,176.40263,2
45.79991,50.15411,151.36206,165.33205,2
59.624752,122.615234,151.2752,83.56667,2
149.51115,81.62577,153.19244,161.5623,2
16.842999,96.91195,152.35242,94.90175,5
26.719267,149.0403,150.9884,183.22789,2
188.08263,74.79983,151.9038,193.20236,2
36.221687,145.49063,150.58194,182.73235,2
14.160094,5.9442286,149.20439,192.73463,2
44.609745,149.82077,150.56519,111.80581,2
196.49615,76.58265,152.73798,53.31677,5
55.19307,55.917896,151.64684,167.54126,2
38.649178,37.011726,150.61081,170.51448,2
41.89416,42.83528,152.84396,120.06335,5
155.58728,12.864166,151.36058,168.14255,2
18.02082,148.87961,151.47131,85.18451,2
106.31122,2.1434484,152.18796,92.30423,2
145.5691,54.971832,151.17348,220.08638,2
112.74763,19.257265,153.45451,67.28678,5
94.651115,101.73566,151.43733,170.87444,2
33.954582,57.0317,151.4237,164.60811,2
197.76796,69.579666,151.37119,175.93242,2
162.5915,66.475006,150.93729,179.80173,2
186.05864,8.5993,151.88586,41.0855,2
98.897316,63.517952,152.99428,76.02119,5
67.853455,139.56166,151.33832,48.280937,5
192.95961,85.28802,152.89772,207.13559,2
72.19747,72.094246,151.9948,186.20917,2
174.7927,21.570595,151.94005,189.73875,2
108.22404,131.80284,152.78874,136.52785,2
68.806915,104.015656,151.75659,137.94496,2
148.3948,20.861975,151.25513,170.3327,2
153.71811,1.7411432,151.55157,229.62163,2
160.05956,124.58563,154.29726,92.54656,5
182.08435,144.9157,156.91231,86.02681,5
169.9277,120.670494,155.91357,42.422462,5
148.2469,30.165672,152.2622,116.81764,5
172.5839,122.95248,154.60487,82.33948,5
120.74809,49.918648,151.54897,67.29332,2
150.37585,1.8383249,151.5493,174.97986,2
50.45191,73.63659,151.90558,191.08873,2
162.10112,128.50775,154.16121,73.1838,2
30.285465,37.749756,151.14648,184.48889,2
176.49066,55.48372,151.73877,160.09755,2
186.80685,95.11534,153.2731,93.6188,2
173.69759,23.200165,151.94594,64.574684,2
84.31738,66.723816,153.69684,78.944496,5
197.99167,70.6236,151.45451,166.06465,2
90.364456,10.256126,153.5252,97.487526,5
7.897852,100.494316,150.86444,86.330215,5
164.47769,103.75957,154.02304,90.07764,5
129.15656,89.54812,153.11372,49.675323,2
115.14804,105.28601,152.22981,174.21745,2
160.63545,130.64883,154.08806,218.00813,2
191.48448,118.822174,154.32971,169.06212,2
9.639643,147.2082,152.45206,126.71436,5
46.91701,89.60542,151.99016,89.181,2
5.867349,116.55932,150.66269,102.26831,2
184.52194,49.147156,153.74582,80.3971,5
69.629295,7.6636558,152.20714,181.76546,2
126.04312,79.108185,152.44592,152.22653,2
123.0187,39.306217,153.14745,96.99709,5
134.60487,146.4015,153.05365,177.28984,2
33.24742,57.261215,151.31422,194.73927,2
194.843,76.41176,152.91553,83.11697,5
194.19548,2.750037,151.83331,189.65128,2
137.39124,95.08394,153.41403,87.715515,2
54.66538,133.45975,150.72296,208.67578,2
106.30965,98.15526,151.7491,135.80173,2
93.74808,70.77666,151.95367,94.81537,2
85.69081,149.90881,151.96677,159.21214,2
16.527489,24.075136,150.74174,180.54668,2
80.96121,129.66309,151.57085,202.2018,2
182.60333,142.0635,156.7758,122.09,5
174.59088,105.4097,153.63248,180.93423,2
181.08931,66.48149,150.9896,163.1893,2
67.323654,54.11782,151.46527,217.41309,2
29.295523,58.340454,152.11237,72.13056,5
103.79409,59.246685,150.77121,153.01387,2
40.154427,30.80726,149.66034,176.49892,2
24.31254,87.27924,150.9056,171.07814,2
57.456944,124.88556,151.15796,85.04753,2
87.88018,136.98328,151.88445,189.88068,2
97.84447,98.963,151.50539,163.54489,2
131.93849,8.303906,151.68684,159.3835,2
74.18083,55.366196,151.39282,199.9725,2
80.23824,126.61102,153.2445,98.37561,5
112.78612,147.09221,152.79993,209.24005,2
121.48066,91.89653,152.68185,54.68804,2
117.90339,70.95825,151.71272,100.76754,2
66.19725,138.95619,150.94041,206.7703,2
80.71306,116.70378,151.4998,142.87975,2
138.37556,118.48818,153.88249,103.16134,5
8.91271,148.56349,151.55148,219.61864,2
103.4409,119.162544,152.03226,138.04872,2
11.929188,50.567947,151.06142,209.04613,2
151.78207,51.19506,152.351,84.03954,5
155.84535,148.9642,153.87682,190.71313,2
4.095982,74.54834,150.27284,210.97807,2
185.96597,147.74994,157.38364,75.693825,5
10.64918,64.10129,152.07835,80.108406,5
106.324104,85.08829,151.84251,184.36957,2
72.2935,148.4795,151.13365,174.54234,2
192.92754,59.6015,151.60963,104.69438,2
164.73752,34.481995,151.73697,174.72627,2
94.64306,20.418728,152.80887,78.27429,2
40.054165,6.3271775,152.5333,98.15828,5
59.93283,29.072365,150.70247,105.24155,2
105.39425,53.367405,150.94016,156.40681,2
191.60588,108.68836,153.7528,185.45775,2
78.64739,44.57261,150.69223,199.64368,2
192.89485,81.66467,154.46613,97.07012,5
137.08168,65.97827,151.37729,95.116394,5
9.47603,40.559574,151.19746,160.59761,2
111.91033,102.0504,152.0218,166.29875,2
34.735115,98.06098,151.39424,70.2144,2
59.460262,136.10527,152.12756,77.58098,5
11.496865,9.103016,149.00479,160.40027,2
115.87871,56.518696,150.71036,217.36845,2
146.13914,24.01972,151.70117,121.30939,5
177.82338,44.501503,152.39566,181.49776,2
196.30136,48.989567,152.7274,168.47751,2
46.861046,56.551178,151.5675,87.50536,2
2.6683795,71.60735,150.44113,47.1968,2
20.445309,137.97086,151.11096,165.37099,2
45.23214,95.31464,151.76402,172.36978,2
69.279076,48.062283,151.18074,129.12668,5
83.29001,74.06922,151.95921,90.43546,2
17.893177,19.931007,150.1663,129.05348,2
188.53828,24.919641,154.08154,107.18077,5
140.99997,54.34481,152.39584,129.6361,5
110.21602,9.754301,152.37982,166.94188,2
126.489494,30.518095,151.9814,197.33073,2
168.88771,67.05033,152.44731,76.64137,5
24.135778,76.922676,150.97617,194.15358,2
168.41394,4.537473,151.95958,146.45732,5
110.28619,11.025586,152.36795,134.06648,2
30.69443,9.602182,150.55363,168.62021,2
7.155778,122.15818,150.88907,110.72875,2
145.05946,18.616833,153.00848,65.97025,5
154.50826,82.19691,154.36417,133.3467,5
150.52654,117.57562,155.4135,104.09258,5
92.23114,137.1224,151.99765,65.21741,2
96.372314,96.1775,151.50713,191.60487,2
183.35973,147.30795,155.44963,157.58176,2
100.48933,23.893583,153.14046,87.66487,5
38.494446,48.952374,151.28604,155.8002,2
65.46966,142.11807,152.35033,105.62942,5
81.72682,85.27026,152.4174,83.026955,5
57.68101,100.2065,151.94905,214.54625,2
73.79582,95.7985,151.74858,186.63962,2
146.60104,120.254005,154.73615,140.36917,5
3.543386,129.499,151.07103,172.95064,2
109.65989,38.09361,152.61841,80.87357,2
72.95735,10.85823,152.32285,86.33303,2
151.68398,101.9769,153.80533,173.7958,2
152.41537,79.37754,152.9082,179.54224,2
163.61032,146.19019,154.30524,202.34256,2
184.62071,124.24693,155.33012,60.98026,5
152.26134,25.455282,151.7619,115.05579,5
53.80659,52.304325,152.31918,67.025154,5
53.376587,95.18888,151.961,161.52055,2
55.91066,103.98302,151.86736,113.59473,2
64.255035,17.844147,151.98256,102.225365,2
168.69931,138.48103,154.43846,167.1693,2
177.54005,109.66823,154.13464,67.998055,5
91.41719,58.961723,151.1821,94.59413,2
80.03505,55.573555,151.53447,91.59861,2
64.49662,0.5905042,153.8395,128.67485,5
51.53999,28.654865,149.88054,196.92784,2
125.46865,135.33081,152.90767,166.55429,2
110.399216,29.253767,152.8849,97.861115,2
67.3814,140.13913,150.95978,153.94669,2
70.343636,58.381313,151.74968,185.49123,2
139.3978,99.72834,153.5179,160.32886,2
7.457698,82.65172,150.67474,54.948074,5
176.42285,27.696527,152.18732,188.84213,2
28.662127,71.224625,151.30385,55.32101,2
23.271694,25.344463,151.28616,95.07314,5
136.75189,138.33614,154.46283,78.2807,5
24.63209,34.477818,151.67899,97.62636,5
155.18306,70.81102,151.53401,102.80019,2
193.0054,98.6722,153.36375,166.6335,2
50.933548,99.901245,153.7057,117.30027,5
75.87176,45.292557,151.56982,100.51977,5
80.3267,31.926548,152.32634,77.32109,2
10.726781,42.24308,152.28008,88.60358,5
167.9129,26.193247,151.74637,164.33089,2
49.099583,91.05897,151.95023,138.596,2
114.620636,64.600746,150.9506,167.91916,2
138.8662,17.005527,151.55508,111.18831,2
17.842043,5.975666,149.86069,89.54301,2
145.5172,85.34626,154.26457,84.8213,5
82.89183,50.066372,150.68452,64.307686,2
77.34641,99.47585,153.12953,40.61995,5
46.44488,28.076698,149.56288,181.34274,2
159.11768,56.206028,151.41968,65.42047,2
160.32675,45.579483,151.80457,189.45811,2
33.934425,136.75986,150.80316,105.4319,2
14.338921,11.95957,149.23143,162.68196,2
32.048,93.4749,152.73886,100.26772,5
52.09277,25.83416,150.38634,73.37706,2
25.59395,20.668343,149.69516,74.542595,2
92.74228,22.674744,153.12585,65.77792,2
124.88069,102.139595,152.80293,192.51057,2
185.68742,121.347046,154.33652,187.62218,2
117.70276,6.049112,152.69107,100.35645,5
128.25536,25.700548,151.78903,161.39784,2
26.362288,91.448555,151.7013,95.423225,5
5.1077566,24.78236,152.6195,88.53808,5
61.162098,36.646534,149.94815,140.36656,2
77.072975,149.57259,151.43105,95.82413,2
66.47604,63.240177,152.97124,68.28619,5
88.21581,86.53244,151.62798,106.36956,2
194.94345,80.470474,152.64076,64.42546,2
191.17847,44.15372,152.77751,159.6484,2
69.04162,140.56184,151.05441,156.10986,2
16.061823,25.372316,150.92621,173.67091,2
184.57835,77.50809,152.24966,75.5808,2
45.294712,44.553017,151.05692,74.8876,2
193.60225,105.140594,154.29608,123.10891,5
41.07127,11.142938,151.24303,187.0108,2
6.590966,70.161644,150.53264,209.01865,2
164.936,71.24476,151.44604,150.58081,2
69.271965,59.990032,151.8735,184.1523,2
116.88452,138.77887,154.54247,65.65779,5
32.472626,72.328865,151.32318,215.69893,2
17.842512,49.462673,151.21669,143.17007,2
34.975998,121.1848,152.16277,63.09425,5
119.62543,52.347485,152.0371,60.23766,5
185.74768,60.40529,152.79355,132.4321,5
91.24164,148.3163,152.91585,90.580795,5
131.99316,101.87015,153.54523,81.82895,5
143.28764,149.71704,153.54839,63.520943,5
182.13281,4.6203265,151.98169,120.1025,5
182.03123,141.83115,155.26457,183.35054,2
85.93884,4.9928317,152.52086,100.26706,2
30.486229,72.56059,151.32753,146.7567,2
87.77619,88.56771,151.60619,218.20506,2
189.73415,95.965294,153.25105,197.35718,2
10.266193,68.38293,150.67606,196.75346,2
119.32684,38.8084,152.24423,169.62448,2
147.41803,21.440807,152.68742,88.48448,5
59.696987,22.539299,151.42947,201.76024,2
116.56659,85.1127,152.26524,163.79669,2
49.19152,95.49849,151.9042,81.00053,2
65.80835,73.146454,151.99356,158.10286,2
100.790726,106.59986,151.88597,108.64206,2
153.43518,130.09079,155.04716,117.848076,5
142.41692,69.90097,151.39378,191.90509,2
80.41041,146.13184,151.63675,101.788536,2
65.85816,146.9714,150.81699,179.11148,2
73.40985,82.29748,151.90236,178.35016,2
8.341733,135.61441,153.05026,37.92474,5
193.37727,123.88974,154.57912,203.05031,2
164.85663,122.424614,154.10437,183.42033,2
167.20541,103.06191,153.65572,220.86063,2
37.446125,3.518442,152.97012,126.105255,5
190.57678,115.80406,154.15742,107.892654,2
188.48781,45.825092,154.61533,78.67134,5
154.3259,26.698574,151.38141,176.8304,2
35.3552,45.63557,153.06638,135.90573,5
156.90237,132.38133,153.86813,205.51111,2
188.30354,3.4301486,153.12952,106.82341,5
121.833626,101.231415,152.58975,92.74855,2
167.42587,80.733894,152.8866,75.501465,2
161.73518,26.22928,151.50267,182.01784,2
117.40808,57.97764,150.5592,173.58136,2
175.62482,52.180077,152.06625,178.94197,2
77.19267,0.046660155,152.71017,127.687836,5
124.910866,101.49662,152.76706,204.95383,2
179.79076,147.41158,155.2751,201.28568,2
59.75443,26.790272,150.92133,175.78757,2
155.89551,5.7422915,151.4083,183.62988,2
115.76421,124.59392,152.5429,180.54587,2
65.51558,29.577051,151.22621,154.21661,2
41.460037,111.55135,151.32884,150.70607,2
62.36493,19.120562,151.81297,216.8737,2
163.35338,69.61003,151.22853,147.0793,2
17.491396,46.893345,151.25587,81.68596,2
25.884777,88.50317,151.43109,38.96615,5
95.918884,44.055683,151.97401,212.63576,2
144.50342,105.71457,155.4739,108.06563,5
128.91626,4.7495027,152.05798,31.914938,2
43.915813,110.69835,151.43289,162.01434,2
59.77285,147.85219,150.52089,177.0494,2
16.243736,22.323929,150.54782,192.14078,2
162.54762,130.88046,154.22005,134.29135,2
22.70328,56.554943,151.2181,189.56535,2
187.16847,121.252914,154.35905,199.59096,2
141.78891,4.0452566,151.6225,192.74167,2
160.19907,94.71259,153.76733,141.74538,2
181.24135,144.47557,156.7039,26.938707,5
99.79102,100.988144,151.53564,176.52528,2
23.631842,56.409863,151.23882,92.09283,2
83.51414,28.267778,153.6263,113.7248,5
43.47474,48.553215,152.89949,82.295135,5
96.34307,123.78504,151.92137,171.1955,2
178.02353,130.71843,154.68288,166.71457,2
80.59154,6.925169,152.39925,185.69061,2
193.02682,27.848505,154.45404,67.18432,5
89.3358,28.110374,154.26027,129.18213,5
196.24196,117.70958,154.32031,166.43044,2
22.04664,62.9311,151.39711,74.11266,5
191.04433,144.62427,157.42838,80.69629,5
48.14681,85.40946,152.81429,89.37582,5
113.78083,46.70299,152.12753,90.407364,2
176.55334,147.08682,155.74065,106.43322,5
2.5730846,147.46725,151.5978,167.35013,2
175.05646,121.85692,154.25237,181.09686,2
51.96421,45.090187,151.49039,82.94804,5
82.6727,8.232458,152.49396,200.48892,2
193.74767,45.540333,152.83374,166.53542,2
191.056,39.885063,154.58151,86.78138,5
168.56068,8.028506,151.53214,76.89659,2
50.071224,52.03814,151.44302,166.637,2
175.22542,28.735044,152.15228,181.7012,2
139.63742,76.185165,152.4211,166.76714,2
2.0664291,71.05425,150.36415,115.29431,2
2.5855448,138.8857,151.42557,187.72456,2
62.215168,98.752235,151.96219,101.687294,2
179.37079,90.54448,153.10718,180.6814,2
176.03679,73.38527,151.67595,183.87866,2
194.84688,91.15151,153.17213,199.1587,2
27.66095,79.57947,151.42549,147.9751,5
33.096676,94.3768,152.07289,82.215126,5
161.93704,48.880093,151.81198,179.36426,2
131.72539,133.53468,153.08554,187.28851,2
35.52087,62.682774,151.43184,169.43428,2
82.09646,72.855316,153.62576,87.01203,5
152.38284,124.767395,153.78772,175.73048,2
131.98734,23.979237,152.12613,100.79844,5
51.32661,29.088146,149.7907,128.6634,2
20.722227,35.985596,151.24728,192.06624,2
104.34536,3.1819746,152.26501,128.30542,2
97.53378,105.60736,151.53677,188.94016,2
59.91941,53.932995,151.5634,192.85771,2
48.67654,101.28162,151.81795,176.31633,2
158.36882,76.77335,152.56465,107.86382,2
45.910732,85.71264,152.12616,123.939575,2
5.5733333,54.829803,152.62463,114.01604,5
82.49504,144.63786,151.69519,163.02322,2
160.58665,68.98117,151.4987,86.86458,5
83.112564,113.83851,151.60902,110.00738,2
158.10922,102.5451,153.85698,167.116,2
25.568336,124.6421,151.28719,67.665,5
137.38916,59.069084,150.72014,92.967316,2
51.990673,77.787,152.04039,87.919586,2
104.89929,55.767097,150.93802,121.31147,2
94.04038,27.958248,154.5742,119.73661,5
22.15159,30.283741,150.99672,154.33913,2
73.41541,116.599396,151.56325,70.73504,2
80.32372,94.71034,151.76291,95.72815,2
198.37743,107.75504,153.84953,207.22511,2
153.67554,137.31749,153.82875,92.91312,2
2.3391776,58.916683,150.70464,93.17826,2
177.64973,7.9974704,151.7188,151.9288,2
192.49373,143.86234,155.73866,101.47881,2
47.92676,143.32729,150.48077,88.32055,2
44.4084,130.21983,150.76906,149.17152,2
20.352554,106.49517,150.66423,177.44537,2
36.32132,90.14832,152.2569,82.29794,5
76.636986,50.862602,150.79227,190.01869,2
107.5195,28.590517,152.82245,152.27097,2
5.7383194,22.32748,151.64561,71.30652,5
10.19621,3.6219578,148.95784,186.10368,2
148.47606,99.10605,153.74475,191.05765,2
137.04803,125.57444,153.29059,173.17567,2
99.49179,54.648373,150.74974,180.51015,2
58.93706,34.148285,151.25246,68.284256,5
103.90449,24.553307,152.81766,157.512,2
84.86501,123.21647,152.57852,67.950836,5
32.861122,47.096786,151.29427,82.79817,2
94.601,21.446123,152.93256,166.47375,2
60.828598,100.099106,153.37834,77.821304,5
10.199332,145.99779,151.5074,76.46158,2
123.46558,149.01953,152.983,206.64473,2
93.19339,7.180446,152.53345,149.59337,2
47.157516,2.1268752,151.77332,198.81458,2
108.50899,17.766947,152.9078,75.53547,5
98.523285,54.962265,150.76656,172.54358,2
18.159267,24.56733,152.41449,40.164764,5
182.02568,139.32312,155.919,109.84675,5
110.316696,49.457947,152.12613,113.14682,5
153.81339,4.4508133,152.01591,116.461105,5
61.81523,78.99578,153.60632,92.704414,5
152.66736,45.082497,151.6872,197.99185,2
113.42604,41.564537,152.38666,173.20561,2
66.74013,118.35433,151.3736,148.27554,2
54.37753,57.078514,151.66617,199.72394,2
84.87177,46.567703,151.3492,112.03323,5
45.663876,79.33973,151.88507,165.6487,2
36.082123,87.2585,152.59274,78.0571,5
146.17754,118.832924,153.74146,186.70114,2
3.9811895,22.396196,151.56398,62.154915,5
161.4756,13.108263,151.44357,172.36829,2
88.60385,140.9231,151.98088,203.27277,2
22.268438,29.321068,150.9423,127.10573,2
83.655464,7.632051,152.45381,195.26022,2
73.01416,119.57432,151.45024,103.75709,2
118.93667,91.602905,152.61034,140.64758,2
87.55774,132.73308,151.84312,158.42146,2
110.4587,88.95605,151.92363,177.71603,2
19.687004,3.3050873,151.30264,103.2301,5
167.65436,25.590317,152.09631,80.81266,5
143.7271,69.56803,151.30463,182.7012,2
